Postcode,Latitude,Longitude,Easting,Northing,Grid Ref,Postcodes,Active postcodes,Population,Households
EH2 3,55.9533,-3.20072,325122,674014,NT251740,155,36,184,95
EH2 4,55.9521,-3.20676,324742,673887,NT247738,244,71,322,148
EH2 9,55.9475,-3.21886,323978,673388,NT239733,8,5,,
EH3 0,55.9613,-3.20204,325055,674906,NT250749,1,0,,
EH3 1,55.9433,-3.23285,323096,672936,NT230729,95,34,,
EH3 5,55.9626,-3.2002,325172,675049,NT251750,259,167,6750,3721
EH3 6,55.9573,-3.19694,325365,674455,NT253744,332,178,5947,3091
EH3 7,55.9508,-3.21135,324453,673748,NT244737,275,81,1331,714
EH3 8,55.9479,-3.20674,324735,673419,NT247734,173,87,2638,1328
EH3 9,55.946,-3.2,325153,673201,NT251732,315,193,7793,3523
EH4 1,55.9593,-3.21953,323959,674702,NT239747,281,191,7205,3850
EH4 2,55.9614,-3.24012,322678,674959,NT226749,328,258,9739,4463
EH4 3,55.9555,-3.24064,322634,674303,NT226743,304,231,5820,2637
EH4 4,55.9709,-3.25021,322067,676028,NT220760,326,217,10421,4605
EH4 5,55.9677,-3.26591,321081,675689,NT210756,194,171,4556,1921
EH4 6,55.9676,-3.29431,319308,675711,NT193757,250,200,5888,2467
EH4 7,55.9573,-3.28245,320027,674551,NT200745,256,235,7457,3437
EH4 8,55.9584,-3.29909,318990,674693,NT189746,109,92,2648,1079
EH4 9,55.9595,-3.22558,323582,674731,NT235747,70,28,,
EH5 1,55.9771,-3.22816,323455,676693,NT234766,258,212,6910,3622
EH5 2,55.9726,-3.22638,323558,676190,NT235761,226,197,7211,3176
EH5 3,55.9738,-3.20439,324932,676300,NT249762,260,205,5500,2550
EH5 9,55.9601,-3.19299,325617,674762,NT256747,6,0,,
EH6 4,55.9752,-3.18738,325997,676437,NT259764,307,234,8940,4535
EH6 5,55.9691,-3.17936,326485,675750,NT264757,271,179,7118,3743
EH6 6,55.9742,-3.17414,326821,676312,NT268763,296,176,7822,4465
EH6 7,55.9712,-3.16044,327670,675963,NT276759,227,150,4908,2491
EH6 8,55.9662,-3.16885,327136,675416,NT271754,278,208,10311,5658
EH6 9,55.9567,-3.12449,329888,674312,NT298743,31,7,,
EH7 4,55.9629,-3.18516,326112,675065,NT261750,283,180,9404,5003
EH7 5,55.9592,-3.17066,327010,674639,NT270746,373,239,12214,7126
EH7 6,55.96,-3.14592,328556,674702,NT285747,313,270,12647,6555
EH7 9,55.9545,-3.15132,328208,674095,NT282740,107,57,,
EH8 7,55.9522,-3.14493,328603,673833,NT286738,280,234,10672,5097
EH8 8,55.9536,-3.1736,326816,674019,NT268740,171,116,3814,2171
EH8 9,55.946,-3.18128,326322,673181,NT263731,316,216,9591,4221
EH9 1,55.9367,-3.18974,325776,672155,NT257721,333,228,13006,5143
EH9 2,55.9321,-3.18659,325964,671639,NT259716,219,176,6553,2776
EH9 3,55.9269,-3.18053,326332,671054,NT263710,155,109,3721,1665
EH9 8,55.9344,-3.19529,325424,671905,NT254719,21,6,,
EH10 1,55.9423,-3.21402,324270,672804,NT242728,1,0,,
EH10 4,55.9329,-3.20824,324613,671752,NT246717,298,225,9520,4344
EH10 5,55.925,-3.2171,324044,670882,NT240708,342,258,10853,4884
EH10 6,55.9141,-3.20814,324582,669660,NT245696,326,275,8238,3278
EH10 7,55.9033,-3.20736,324610,668457,NT246684,134,106,4481,1771
EH10 9,55.9289,-3.2088,324570,671308,NT245713,32,7,,
EH11 1,55.937,-3.22705,323446,672229,NT234722,345,259,13213,7316
EH11 2,55.9404,-3.23066,323227,672611,NT232726,295,215,9065,5337
EH11 3,55.9309,-3.26577,321014,671594,NT210715,325,281,10516,4725
EH11 4,55.9254,-3.28265,319948,671001,NT199710,302,190,6784,3204
EH12 0,55.9502,-3.33895,316484,673827,NT164738,21,15,146,57
EH12 1,55.9346,-3.27428,320490,672015,NT204720,200,63,,
EH12 5,55.9442,-3.23623,322886,673040,NT228730,332,226,7246,3680
EH12 6,55.9466,-3.2556,321682,673329,NT216733,226,178,5257,2094
EH12 7,55.9384,-3.27964,320163,672444,NT201724,312,268,10280,4608
EH12 8,55.9466,-3.29393,319288,673374,NT192733,356,302,12039,5260
EH12 9,55.9343,-3.29963,318906,672011,NT189720,222,145,3544,1689
EH13 0,55.9078,-3.25511,321634,669011,NT216690,235,194,6888,2706
EH13 9,55.9095,-3.2285,323301,669170,NT233691,211,183,7750,3664
EH14 1,55.9262,-3.24227,322473,671044,NT224710,312,256,9645,4751
EH14 2,55.9205,-3.26887,320799,670440,NT207704,257,218,9238,4376
EH14 3,55.9124,-3.28063,320048,669552,NT200695,121,88,5632,2405
EH14 4,55.9161,-3.30325,318642,669990,NT186699,31,22,1703,77
EH14 5,55.9012,-3.30238,318665,668331,NT186683,273,237,8417,3583
EH14 6,55.8972,-3.29572,319073,667878,NT190678,22,17,189,76
EH14 7,55.8847,-3.33553,316557,666534,NT165665,179,150,4896,1999
EH14 9,55.933,-3.23737,322793,671795,NT227717,40,15,,
EH15 1,55.951,-3.12037,330135,673674,NT301736,293,212,6357,2946
EH15 2,55.9486,-3.10108,331335,673387,NT313733,243,198,6793,2838
EH15 3,55.9405,-3.11618,330377,672501,NT303725,241,199,7511,3424
EH15 9,55.9516,-3.11214,330650,673732,NT306737,19,5,,
EH16 4,55.9306,-3.13097,329436,671414,NT294714,333,206,7111,3232
EH16 5,55.9295,-3.16193,327499,671324,NT274713,342,273,11402,4444
EH16 6,55.9117,-3.16167,327482,669343,NT274693,374,313,11078,4963
EH16 9,55.9279,-3.15565,327889,671139,NT278711,37,16,,
EH17 7,55.9133,-3.13789,328972,669496,NT289694,252,217,8672,3792
EH17 8,55.9031,-3.14868,328278,668372,NT282683,315,254,9888,4322
EH18 1,55.8766,-3.12167,329919,665395,NT299653,123,106,2222,865
EH19 2,55.8756,-3.11048,330617,665272,NT306652,158,147,5646,2375
EH19 3,55.8708,-3.10201,331139,664730,NT311647,278,254,8238,3284
EH19 9,55.8737,-3.10428,331002,665055,NT310650,9,0,,
EH20 0,55.8737,-3.10428,331002,665055,NT310650,2,0,,
EH20 9,55.8786,-3.15464,327860,665652,NT278656,267,224,6319,2814
EH21 6,55.9404,-3.06242,333735,672437,NT337724,298,242,10470,4965
EH21 7,55.9415,-3.04295,334953,672541,NT349725,267,232,6795,3009
EH21 8,55.9343,-3.03195,335628,671729,NT356717,231,208,8054,3022
EH21 9,55.9437,-3.0479,334648,672790,NT346727,16,4,,
EH22 1,55.9023,-3.08421,332308,668218,NT323682,238,200,5581,2595
EH22 2,55.894,-3.04511,334738,667257,NT347672,250,225,6552,2781
EH22 3,55.8866,-3.08067,332502,666467,NT325664,181,150,3592,1464
EH22 4,55.8718,-3.05982,333781,664800,NT337647,273,247,7255,3030
EH22 5,55.8724,-3.04029,335004,664848,NT350648,241,224,6489,2694
EH22 9,55.8927,-3.07186,333063,667138,NT330671,52,27,,
EH23 4,55.8408,-3.05197,334219,661343,NT342613,328,287,7996,3315
EH24 9,55.8509,-3.13485,329048,662548,NT290625,76,71,1655,687
EH25 4,,,,,,1,0,,
EH25 9,55.8584,-3.17794,326364,663428,NT263634,133,116,2880,1279
EH26 0,55.842,-3.21779,323838,661646,NT238616,236,211,6846,2698
EH26 6,55.8281,-3.22294,323488,660105,NT234601,3,1,,
EH26 8,55.828,-3.21583,323933,660086,NT239600,207,185,6145,2670
EH26 9,55.8253,-3.24553,322067,659818,NT220598,147,127,4031,1706
EH27 8,55.8908,-3.42472,310992,667324,NT109673,82,70,2609,999
EH28 8,55.9289,-3.40183,312510,671535,NT125715,171,132,2830,1233
EH28 9,55.8847,-3.62803,298262,666926,NS982669,2,1,,
EH29 9,55.9567,-3.39544,312971,674621,NT129746,129,118,3647,1498
EH30 9,55.9828,-3.37883,314066,677504,NT140775,273,227,9506,3988
EH31 2,56.0378,-2.82059,348969,683072,NT489830,100,89,2612,1201
EH32 0,55.9754,-2.92696,342249,676211,NT422762,287,252,9914,4203
EH32 2,55.9593,-2.98323,338711,674467,NT387744,6,1,,
EH32 9,55.9571,-2.97987,338918,674219,NT389742,273,251,9158,4035
EH33 1,55.9457,-2.93671,341595,672914,NT415729,204,177,5844,2373
EH33 2,55.9381,-2.95284,340576,672081,NT405720,213,199,8157,3475
EH33 9,55.9441,-2.95355,340541,672750,NT405727,5,1,,
EH34 5,55.9106,-2.88533,344754,668965,NT447689,94,85,2540,989
EH35 5,55.9115,-2.94387,341096,669113,NT410691,67,62,2235,987
EH36 5,55.8556,-2.85332,346680,662818,NT466628,11,11,383,163
EH37 5,55.8634,-2.96622,339624,663779,NT396637,104,94,1632,691
EH38 5,55.7852,-2.96193,339772,655072,NT397550,15,12,394,161
EH39 4,56.0567,-2.72368,355029,685108,NT550851,250,219,5777,2633
EH39 5,56.0362,-2.7452,353665,682840,NT536828,202,174,2995,1230
EH39 9,56.0583,-2.72275,355089,685285,NT550852,14,4,,
EH40 3,55.9904,-2.65087,359494,677683,NT594776,72,65,2129,941
EH41 3,55.9579,-2.78414,351139,674153,NT511741,244,205,5521,2411
EH41 4,55.9394,-2.76645,352221,672081,NT522720,217,195,6384,2811
EH41 9,55.9553,-2.78145,351304,673861,NT513738,38,21,,
EH42 1,55.9938,-2.5248,367362,677995,NT673779,384,342,10810,4506
EH42 9,56.0008,-2.51537,367956,678770,NT679787,5,0,,
EH43 6,55.6239,-3.01165,336392,637166,NT363371,29,27,830,428
EH44 6,55.6209,-3.07053,332679,636888,NT326368,123,107,3369,1550
EH45 6,55.6519,-3.18782,325352,640458,NT253404,10,3,,
EH45 8,55.6612,-3.19677,324807,641503,NT248415,257,212,5363,2609
EH45 9,55.6434,-3.18075,325781,639504,NT257395,162,137,5224,2151
EH46 7,55.7345,-3.34327,315748,649828,NT157498,125,107,3212,1278
EH47 0,55.8665,-3.68658,294550,664988,NS945649,233,208,6646,3010
EH47 7,55.8761,-3.61731,298910,665953,NS989659,222,200,6900,3139
EH47 8,55.8592,-3.66128,296114,664138,NS961641,201,174,8203,3592
EH47 9,55.8305,-3.70209,293481,661006,NS934610,146,135,4940,2142
EH48 1,55.8995,-3.62397,298554,668567,NS985685,259,212,7106,3230
EH48 2,55.8942,-3.65983,296298,668030,NS962680,361,301,15135,6286
EH48 3,55.897,-3.71545,292828,668427,NS928684,257,239,8557,3683
EH48 4,55.9108,-3.64363,297355,669854,NS973698,181,148,5379,2422
EH48 9,55.8847,-3.62803,298262,666926,NS982669,42,13,,
EH49 6,55.9722,-3.60157,300142,676624,NT001766,250,205,8476,3488
EH49 7,55.9806,-3.6017,300156,677559,NT001775,269,215,8351,3524
EH49 9,55.9822,-3.62855,298485,677777,NS984777,24,5,,
EH51 0,56.0102,-3.61794,299220,680877,NS992808,194,171,6515,2911
EH51 1,56.0184,-3.60682,299934,681773,NS999817,8,1,,
EH51 9,56.0126,-3.59633,300573,681113,NT005811,267,233,8587,3887
EH52 5,55.9308,-3.48143,307541,671850,NT075718,278,221,9035,3897
EH52 6,55.9412,-3.49319,306831,673023,NT068730,333,297,10718,4538
EH52 9,55.8847,-3.62803,298262,666926,NS982669,7,2,,
EH53 0,55.8936,-3.47828,307649,667706,NT076677,278,247,9730,4153
EH54 0,55.8902,-3.52589,304664,667393,NT046673,142,34,,
EH54 5,55.9014,-3.50043,306283,668604,NT062686,212,159,7672,3438
EH54 6,55.8902,-3.5214,304945,667386,NT049673,384,291,21113,8410
EH54 7,55.8864,-3.53753,303926,666985,NT039669,133,94,3297,1303
EH54 8,55.9026,-3.54636,303414,668801,NT034688,285,223,15108,6085
EH54 9,55.8721,-3.51562,305262,665364,NT052653,165,120,7646,2671
EH55 8,55.8482,-3.57393,301553,662786,NT015627,291,263,8930,3613
EH91 5,55.9272,-3.2907,319449,671211,NT194712,25,23,,
EH95 1,55.9786,-3.25352,321876,676888,NT218768,6,6,,
EH99 1,55.9519,-3.19475,325492,673852,NT254738,3,2,,
EN1 1,51.6477,-0.0682198,533751,196090,TQ337960,380,224,12666,4929
EN1 2,51.6431,-0.0757323,533245,195564,TQ332955,260,195,7693,3203
EN1 3,51.6565,-0.0723106,533442,197061,TQ334970,356,251,11627,4416
EN1 4,51.6664,-0.0592099,534319,198186,TQ343981,304,239,13693,5317
EN1 8,51.6676,-0.0681133,533700,198302,TQ336983,1,0,,
EN1 9,51.652,-0.0771237,533123,196551,TQ331965,387,76,,
EN2 0,51.6629,-0.0848136,532559,197749,TQ325977,259,200,9644,4104
EN2 6,51.6517,-0.0830733,532712,196507,TQ327965,265,145,3580,1526
EN2 7,51.6521,-0.102207,531387,196517,TQ313965,269,194,7843,3299
EN2 8,51.6606,-0.0981558,531643,197469,TQ316974,270,199,7050,3141
EN2 9,51.6745,-0.0867731,532389,199036,TQ323990,112,89,1398,548
EN3 4,51.6452,-0.0477244,535176,195849,TQ351958,334,204,11518,4252
EN3 5,51.6617,-0.046656,535201,197686,TQ352976,329,238,16025,5756
EN3 6,51.6694,-0.0352204,535969,198563,TQ359985,393,317,19406,7324
EN3 7,51.6552,-0.0384794,535786,196978,TQ357969,363,230,10093,3741
EN4 0,51.6571,-0.162744,527185,196966,TQ271969,215,135,5389,1867
EN4 8,51.6414,-0.162576,527241,195220,TQ272952,356,230,12209,4834
EN4 9,51.6495,-0.163107,527182,196120,TQ271961,299,180,8169,3376
EN5 1,51.645,-0.177176,526221,195595,TQ262955,306,197,7202,2995
EN5 2,51.6459,-0.200915,524576,195655,TQ245956,339,254,13233,5115
EN5 3,51.6469,-0.219608,523280,195734,TQ232957,167,125,3321,1315
EN5 4,51.6562,-0.200363,524586,196801,TQ245968,271,179,5814,2361
EN5 5,51.652,-0.186957,525525,196357,TQ255963,371,261,8154,3617
EN5 9,51.6432,-0.171116,526645,195406,TQ266954,249,53,,
EN6 1,51.7006,-0.184971,525528,201765,TL255017,319,201,5778,2410
EN6 2,51.6931,-0.190794,525146,200921,TL251009,257,184,7452,3082
EN6 3,51.698,-0.21273,523617,201429,TL236014,226,145,5243,2028
EN6 4,51.708,-0.132851,529108,202679,TL291026,258,188,5304,2136
EN6 5,51.6947,-0.17505,526230,201126,TL262011,227,160,5305,2236
EN6 9,51.6986,-0.190161,525175,201534,TL251015,103,27,,
EN7 3,51.6606,-0.0799781,532900,197502,TQ328975,1,0,,
EN7 5,51.7031,-0.0681228,533595,202250,TL335022,242,192,7541,2900
EN7 6,51.7118,-0.0620034,533992,203229,TL339032,360,288,14343,5356
EN8 0,51.7114,-0.0350768,535853,203234,TL358032,288,229,10051,4140
EN8 1,51.6852,-0.0315638,536175,200327,TL361003,186,30,,
EN8 7,51.6864,-0.0282021,536403,200467,TL364004,326,201,7348,3211
EN8 8,51.6926,-0.0358223,535858,201142,TL358011,318,243,10772,4415
EN8 9,51.7035,-0.0352502,535865,202355,TL358023,310,215,7636,3170
EN9 1,51.686,-0.000987303,538286,200474,TL382004,319,232,7805,3504
EN9 2,51.7228,0.0144766,539242,204596,TL392045,211,165,4658,1965
EN9 3,51.6846,0.0189299,539667,200356,TL396003,322,266,11136,4694
EN10 6,51.7344,-0.0198428,536836,205821,TL368058,304,225,10769,4388
EN10 7,51.7484,-0.0225969,536604,207372,TL366073,267,196,6434,2467
EN11 0,51.7658,-0.00107199,538037,209348,TL380093,278,193,6430,2495
EN11 1,51.7598,-0.0102932,537419,208663,TL374086,233,85,,
EN11 8,51.7598,-0.0138799,537171,208656,TL371086,325,233,6370,3011
EN11 9,51.7715,-0.0118493,537276,209961,TL372099,234,181,8678,3263
EN77 1,,,,,,67,61,,
EX1 1,50.7229,-3.52707,292305,92587,SX923925,344,162,1851,950
EX1 2,50.7257,-3.51401,293233,92879,SX932928,319,230,8998,3704
EX1 3,50.7303,-3.48347,295399,93347,SX953933,350,308,10436,4537
EX1 9,50.7262,-3.52238,292643,92947,SX926929,343,89,,
EX2 4,50.7184,-3.52205,292649,92079,SX926920,302,198,6209,3044
EX2 5,50.7175,-3.49671,294436,91943,SX944919,309,256,8095,3517
EX2 6,50.7093,-3.50578,293777,91044,SX937910,166,140,5268,2130
EX2 7,50.7107,-3.4843,295297,91169,SX952911,319,242,5958,2523
EX2 8,50.7073,-3.53057,292022,90857,SX920908,394,294,7562,3370
EX2 9,50.7068,-3.5487,290741,90828,SX907908,301,246,7576,3245
EX3 0,50.69,-3.45906,297033,88832,SX970888,251,193,4722,2306
EX3 9,50.7259,-3.46406,296759,92831,SX967928,25,9,,
EX4 0,50.7625,-3.47123,296334,96910,SX963969,25,23,310,128
EX4 1,50.7181,-3.54778,290832,92084,SX908920,260,213,8841,3699
EX4 2,50.7292,-3.55922,290050,93335,SX900933,229,190,7819,3348
EX4 3,50.724,-3.53212,291951,92717,SX919927,306,135,2361,1234
EX4 4,50.7309,-3.53554,291725,93489,SX917934,340,236,8150,2480
EX4 5,50.7416,-3.52709,292346,94666,SX923946,115,85,3349,1494
EX4 6,50.7301,-3.52231,292657,93380,SX926933,305,177,8857,2872
EX4 7,50.7336,-3.51005,293530,93752,SX935937,137,108,5125,2051
EX4 8,50.7359,-3.48851,295056,93977,SX950939,242,194,6580,2666
EX4 9,50.7406,-3.49418,294666,94508,SX946945,114,94,3756,1631
EX5 1,50.6912,-3.41749,299972,88908,SX999889,239,203,3641,1578
EX5 2,50.7465,-3.37633,302994,95002,SY029950,319,272,4766,1933
EX5 3,50.7682,-3.43452,298935,97493,SX989974,157,134,2286,889
EX5 4,50.8045,-3.46989,296521,101579,SS965015,227,197,5199,2223
EX5 5,50.784,-3.54595,291114,99409,SX911994,186,156,2907,1261
EX5 7,50.749,-3.40817,300753,95323,SY007953,92,92,,
EX6 6,50.7264,-3.72911,278053,93290,SX780932,203,175,2969,1305
EX6 7,50.6733,-3.62229,285463,87215,SX854872,314,278,3856,1630
EX6 8,50.646,-3.47921,295512,83968,SX955839,326,272,6915,2984
EX6 9,,,,,,1,0,,
EX7 0,50.5891,-3.46885,296119,77626,SX961776,289,231,5805,2505
EX7 7,50.5802,-3.47072,295967,76639,SX959766,16,4,,
EX7 9,50.5827,-3.47334,295787,76921,SX957769,283,229,6697,3158
EX8 1,50.6205,-3.41347,300106,81041,SY001810,304,227,6832,3215
EX8 2,50.6204,-3.39662,301298,81008,SY012810,290,241,8201,3833
EX8 3,50.6304,-3.40642,300625,82133,SY006821,185,148,5597,2481
EX8 4,50.633,-3.39296,301583,82404,SY015824,279,230,9132,3997
EX8 5,50.6414,-3.40542,300719,83354,SY007833,275,215,7678,2778
EX8 9,50.6193,-3.41182,300220,80906,SY002809,49,12,,
EX9 6,50.6322,-3.32734,306222,82229,SY062822,262,210,5101,2469
EX9 7,50.6529,-3.31629,307044,84518,SY070845,128,101,1733,756
EX9 9,50.6298,-3.3277,306192,81963,SY061819,8,3,,
EX10 0,50.7029,-3.26684,310635,90016,SY106900,244,221,4326,1883
EX10 1,50.6839,-3.24207,312349,87874,SY123878,75,46,,
EX10 8,50.6816,-3.24053,312453,87616,SY124876,314,267,3481,1873
EX10 9,50.6954,-3.23617,312787,89146,SY127891,337,306,8971,4198
EX11 1,50.7472,-3.28836,309201,94968,SY092949,382,331,7999,3403
EX12 2,50.7097,-3.0731,324327,90556,SY243905,348,296,7093,3562
EX12 3,50.6983,-3.10699,321915,89324,SY219893,170,146,1788,799
EX12 4,50.7151,-3.04918,326025,91132,SY260911,42,36,425,193
EX12 9,50.7058,-3.07181,324412,90121,SY244901,12,2,,
EX13 5,50.7823,-2.9856,330613,98543,SY306985,344,300,7080,3235
EX13 6,50.741,-3.07629,324153,94040,SY241940,263,0,,
EX13 7,50.7984,-3.03007,327503,100376,ST275003,273,249,3888,1724
EX13 8,50.7512,-3.01791,328287,95116,SY282951,54,47,754,330
EX13 9,50.7817,-2.99754,329770,98488,SY297984,10,5,,
EX14 0,50.8205,-3.24246,312576,103064,ST125030,318,4,,
EX14 1,50.7984,-3.1926,316049,100549,ST160005,261,224,5378,2538
EX14 2,50.7933,-3.19277,316028,99982,SY160999,156,140,5724,2577
EX14 3,50.8007,-3.26039,311276,100884,ST112008,219,200,4103,1685
EX14 4,50.847,-3.20832,315029,105971,ST150059,157,140,2549,1159
EX14 8,50.7962,-3.19172,316107,100303,ST161003,369,0,,
EX14 9,50.8304,-3.1217,321099,104029,ST210040,274,237,3056,1280
EX15 1,50.8561,-3.39678,301781,107216,ST017072,369,314,8808,3662
EX15 2,50.8656,-3.34874,305182,108210,ST051082,279,250,5950,2407
EX15 3,50.9087,-3.27887,310182,112915,ST101129,307,277,6285,2637
EX15 9,50.856,-3.39305,302043,107200,ST020072,18,7,,
EX16 0,50.9044,-3.48568,295632,112710,SS956127,98,35,,
EX16 4,50.9017,-3.46746,296907,112384,SS969123,222,184,5810,2438
EX16 5,50.9025,-3.49674,294850,112514,SS948125,199,175,4950,2210
EX16 6,50.9084,-3.48113,295961,113148,SS959131,353,299,9719,4184
EX16 7,50.934,-3.39976,301736,115883,ST017158,246,223,4546,1821
EX16 8,50.9064,-3.60936,286941,113114,SS869131,221,199,3900,1621
EX16 9,50.9799,-3.51019,294081,121140,SS940211,226,200,3309,1452
EX17 1,50.7944,-3.63223,285058,100696,SS850006,114,105,2115,903
EX17 2,50.7928,-3.66187,282965,100564,SS829005,91,80,2290,1065
EX17 3,50.7872,-3.65815,283213,99936,SX832999,224,196,4291,1867
EX17 4,50.8439,-3.66064,283179,106244,SS831062,238,213,3321,1298
EX17 5,50.7877,-3.75716,276236,100153,SS762001,180,156,3211,1269
EX17 6,50.8309,-3.79175,273914,105014,SS739050,253,220,4262,1789
EX17 9,50.7902,-3.64688,284015,100252,SS840002,23,8,,
EX18 7,50.9015,-3.88669,267429,113031,SS674130,217,196,2958,1314
EX19 8,50.876,-4.00018,259373,110406,SS593104,246,207,3611,1625
EX20 1,50.7399,-3.99542,259299,95264,SX592952,349,290,7912,3426
EX20 2,50.7638,-3.91203,265251,97766,SX652977,300,257,4601,1967
EX20 3,50.809,-4.06959,254281,103091,SS542030,263,234,4477,1840
EX20 4,50.6809,-4.13384,249343,88977,SX493889,213,192,3135,1278
EX20 9,50.735,-3.89219,266568,94528,SX665945,13,6,,
EX21 5,50.8036,-4.20909,244435,102775,SS444027,308,280,4405,1769
EX22 6,50.79,-4.37996,232348,101637,SS323016,332,301,5833,2447
EX22 7,50.8663,-4.35342,234488,110060,SS344100,313,293,4820,1921
EX22 9,50.8102,-4.35567,234131,103828,SS341038,13,4,,
EX23 0,50.7728,-4.5605,219558,100150,SS195001,195,162,3520,1473
EX23 3,50.8312,-4.54564,220829,106607,SS208066,19,4,,
EX23 8,50.8295,-4.53993,221225,106404,SS212064,312,255,7239,3336
EX23 9,50.8576,-4.5076,223607,109450,SS236094,262,234,4861,2063
EX24 6,50.7375,-3.08748,323357,93662,SY233936,238,210,3728,1683
EX31 1,51.0832,-4.06379,255543,133568,SS555335,295,192,3589,1728
EX31 2,51.0732,-4.08718,253873,132502,SS538325,211,170,6208,2649
EX31 3,51.0565,-4.10039,252895,130672,SS528306,333,293,8199,3491
EX31 4,51.131,-4.01411,259168,138787,SS591387,296,259,7090,2520
EX32 0,51.0559,-3.99314,260409,130396,SS604303,287,259,4915,1956
EX32 2,51.0802,-4.05743,255979,133222,SS559332,146,45,,
EX32 7,51.0858,-4.01187,259187,133757,SS591337,232,200,6846,2879
EX32 8,51.0777,-4.04654,256734,132923,SS567329,251,185,6770,3021
EX32 9,51.0721,-4.04689,256692,132301,SS566323,169,136,5365,2291
EX33 1,51.1179,-4.18241,247349,137666,SS473376,219,198,5251,2365
EX33 2,51.1066,-4.14792,249726,136339,SS497363,196,167,5008,2117
EX34 0,51.1993,-4.02672,258495,146406,SS584464,180,161,2864,1259
EX34 4,51.2083,-4.12419,251714,147599,SS517475,12,0,,
EX34 7,51.1797,-4.18726,247214,144548,SS472445,106,80,1655,726
EX34 8,51.1987,-4.12705,251484,146537,SS514465,227,179,6694,2820
EX34 9,51.2071,-4.11093,252637,147439,SS526474,295,229,6107,2729
EX35 6,51.2247,-3.82943,272348,148869,SS723488,151,125,1677,727
EX36 3,51.0344,-3.7965,274131,127651,SS741276,207,179,3380,1463
EX36 4,51.0004,-3.79736,273978,123872,SS739238,222,200,5160,2263
EX36 9,51.0177,-3.83514,271375,125861,SS713258,10,4,,
EX37 9,50.9794,-3.95537,262830,121819,SS628218,217,199,3562,1466
EX38 7,50.9566,-4.12393,250925,119611,SS509196,147,125,4284,1765
EX38 8,50.937,-4.1696,247653,117525,SS476175,212,171,3980,1759
EX38 9,50.9523,-4.14283,249584,119172,SS495191,12,1,,
EX39 1,51.0426,-4.21385,244897,129359,SS448293,349,303,9327,4597
EX39 2,51.021,-4.20892,245171,126947,SS451269,218,160,3872,2047
EX39 3,51.0196,-4.21844,244499,126811,SS444268,265,231,9083,3862
EX39 4,51.0229,-4.18364,246950,127105,SS469271,248,224,6859,2905
EX39 5,50.9818,-4.29123,239263,122765,SS392227,298,273,6222,2564
EX39 6,50.9839,-4.48758,225490,123445,SS254234,112,99,1814,798
EX39 9,51.0222,-4.20382,245533,127070,SS455270,72,30,,
FK1 1,55.9991,-3.78162,288984,679893,NS889798,293,176,3567,2148
FK1 2,55.9678,-3.76399,289994,676382,NS899763,214,189,7822,3249
FK1 3,55.9374,-3.83213,285652,673110,NS856731,101,92,1919,792
FK1 4,56.002,-3.81835,286702,680275,NS867802,205,159,7218,3389
FK1 5,55.9954,-3.79808,287946,679508,NS879795,278,230,8664,3777
FK1 9,56.002,-3.78706,288653,680224,NS886802,142,57,,
FK2 0,55.982,-3.71719,292954,677888,NS929778,395,356,16262,6477
FK2 7,56.0117,-3.78674,288701,681303,NS887813,386,310,11186,5339
FK2 8,56.0388,-3.78314,289003,684313,NS890843,264,229,8568,3510
FK2 9,55.9964,-3.7512,290873,679544,NS908795,315,278,10959,4865
FK3 0,56.0054,-3.71661,293055,680492,NS930804,116,102,4998,2458
FK3 3,56.0195,-3.72482,292582,682073,NS925820,7,1,,
FK3 8,56.0132,-3.72819,292355,681377,NS923813,303,226,7095,3495
FK3 9,56.0135,-3.70973,293506,681382,NS935813,187,135,5285,2524
FK4 1,55.9993,-3.91268,280811,680134,NS808801,275,241,9760,3997
FK4 2,55.9935,-3.89421,281945,679457,NS819794,112,98,3720,1510
FK5 3,56.0195,-3.82122,286574,682228,NS865822,142,124,4836,2007
FK5 4,56.0277,-3.81964,286697,683137,NS866831,383,325,14372,5991
FK6 5,56.0165,-3.91886,280479,682058,NS804820,189,168,7868,3304
FK6 6,56.0264,-3.91105,280997,683147,NS809831,196,159,5463,2513
FK6 9,56.0229,-3.90888,281121,682753,NS811827,16,2,,
FK7 0,56.0973,-3.92944,280071,691068,NS800910,188,163,7025,3140
FK7 1,56.1149,-3.9234,280501,693016,NS805930,97,41,,
FK7 7,56.1042,-3.89818,282037,691782,NS820917,337,268,10892,4726
FK7 8,56.0807,-3.90122,281775,689172,NS817891,197,184,6272,2581
FK7 9,56.1031,-3.95295,278627,691755,NS786917,211,178,7110,3029
FK8 1,56.1243,-3.93944,279534,694090,NS795940,319,224,8480,3985
FK8 2,56.1133,-3.93861,279551,692865,NS795928,235,159,3800,1746
FK8 3,56.1471,-4.22321,261978,697159,NS619971,285,245,6064,2520
FK9 4,56.1459,-3.94937,278984,696511,NS789965,322,241,7344,2345
FK9 5,56.135,-3.92866,280237,695262,NS802952,211,175,6458,2452
FK10 1,56.1133,-3.79243,288639,692619,NS886926,236,171,6449,2937
FK10 2,56.1268,-3.81796,287092,694163,NS870941,302,267,15106,6662
FK10 3,56.1275,-3.77674,289656,694174,NS896941,244,215,9011,3698
FK10 4,56.0867,-3.72912,292502,689558,NS925895,218,188,6600,2942
FK10 9,56.115,-3.79478,288498,692812,NS884928,80,41,,
